leftEye,rightEye
[0.08313407],[-0.78321042]
[0.08313407],[-0.78321042]
[0.08313407],[-0.78321042]
[0.02187739],[-0.10938693]
[0.21439838],[-0.10938693]
[0.21439838],[-0.10938693]
[0.21439838],[-0.10938693]
[0.21439838],[-0.10938693]
[0.22314934],[-0.10938693]
[0.10063598],[-0.78321042]
[0.10063598],[-0.78321042]
[0.10063598],[-0.78321042]
[0.0568812],[-0.62569324]
[0.0568812],[-0.62569324]
[0.0568812],[-0.62569324]
[0.0568812],[-0.62569324]
[0.17064361],[-0.3456627]
[0.17064361],[-0.60819134]
[0.17064361],[-0.60819134]
[0.17064361],[-0.60819134]
[0.31940984],[-0.16189266]
[0.31940984],[-0.08313407]
[0.31940984],[-0.08313407]
[0.31940984],[-0.08313407]
[0.31940984],[-0.08313407]
[0.21439838],[-0.61694229]
[0.21439838],[-0.61694229]
[0.60819134],[-0.17939457]
[0.60819134],[-0.17939457]
[0.12688884],[-0.60819134]
[0.12688884],[-0.60819134]
[0.12688884],[-0.60819134]
[0.12688884],[-0.60819134]
[0.14439075],[-0.60819134]
[0.14439075],[-0.60819134]
[0.14439075],[-0.60819134]
[0.14439075],[-0.60819134]
[0.14439075],[-0.60819134]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.20564743],[-0.07438311]
[0.20564743],[-0.07438311]
[0.20564743],[-0.07438311]
[0.20564743],[-0.07438311]
[0.01312643],[-0.1531417]
[0.33691175],[-0.1531417]
[0.01312643],[-0.1531417]
[0.01312643],[-0.1531417]
[0.33691175],[-0.1531417]
[0.33691175],[-0.1531417]
[0.33691175],[-0.1531417]
[0.33691175],[-0.1531417]
[0.33691175],[-0.1531417]
[0.30190793],[-0.07438311]
[0.30190793],[-0.07438311]
[0.30190793],[-0.07438311]
[0.30190793],[-0.07438311]
[0.0393793],[-0.72195374]
[0.0393793],[-0.72195374]
[0.0393793],[-0.72195374]
[0.0393793],[-0.72195374]
[0.19689648],[-0.59068943]
[0.19689648],[-0.59068943]
[0.19689648],[-0.59068943]
[0.19689648],[-0.59068943]
[0.19689648],[-0.59068943]
[0.17064361],[-0.0393793]
[0.17064361],[-0.0393793]
[0.17064361],[-0.0393793]
[0.17064361],[-0.0393793]
[0.52068179],[-0.17064361]
[0.52068179],[0.00437548]
[0.52068179],[0.00437548]
[0.52068179],[0.00437548]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.31940984],[-0.1531417]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.45067416 0.33691175],[-0.61694229]
[0.45067416 0.33691175],[-0.61694229]
[0.45067416 0.33691175],[-0.61694229]
[0.45067416 0.33691175],[-0.61694229]
[0.29315697],[-0.16189266]
[0.27565507],[-0.16189266]
[0.27565507],[-0.16189266]
[0.27565507],[-0.16189266]
[0.20564743],[-0.62569324]
[0.33691175],[-0.11813789]
[0.33691175],[-0.11813789]
[0.33691175],[-0.11813789]
[0.33691175],[-0.11813789]
[0.33691175],[-0.17064361]
[1.54454346],[-0.59944038]
[1.54454346],[-0.59944038]
[1.54454346],[-0.59944038]
[0.45942511],[-0.60819134]
[0.45942511],[-0.1531417]
[0.45942511],[-0.1531417]
[0.45942511],[-0.1531417]
[0.1531417],[-0.1531417]
[0.1531417],[-0.1531417]
[0.1531417],[-0.1531417]
[0.1531417],[-0.1531417]
[0.49442893],[0.04813025]
[0.49442893],[0.04813025]
[0.49442893],[0.04813025]
[0.49442893],[0.04813025]
[0.49442893],[0.04813025]
[0.02187739],[-0.14439075]
[0.02187739],[-0.14439075]
[0.02187739],[-0.16189266]
[0.02187739],[-0.16189266]
[-1.52704155],[-0.62569324]
[-1.52704155],[-0.62569324]
[-1.52704155],[-0.62569324]
[-1.52704155],[-0.62569324]
[0.17939457],[-0.16189266]
[0.17939457],[-0.16189266]
[0.17939457],[-0.16189266]
[0.17939457],[-0.16189266]
[0.1531417],[-0.07438311]
[0.02187739],[-0.1531417]
[0.02187739],[-0.1531417]
[0.02187739],[-0.1531417]
[0.02187739],[-0.1531417]
[0.19689648],[-0.16189266]
[0.19689648],[-0.16189266]
[0.19689648],[-0.16189266]
[0.19689648],[-0.16189266]
[0.07438311],[-0.14439075]
[0.1531417],[-0.14439075]
[0.1531417],[-0.14439075]
[0.1531417],[-0.14439075]
[0.47692702],[-0.16189266]
[0.32816079],[-0.16189266]
[0.32816079],[-0.16189266]
[0.32816079],[-0.16189266]
[0.32816079],[-0.16189266]
[0.12688884],[-0.62569324]
[0.33691175 0.78321042],[-0.62569324]
[0.33691175 0.78321042],[-0.62569324]
[0.33691175 0.78321042],[-0.62569324]
[0.14439075],[-0.16189266]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.1531417],[-0.16189266]
[0.78321042],[-0.16189266]
[0.78321042],[-0.16189266]
[0.78321042],[-0.16189266]
[0.78321042],[-0.16189266]
[0.78321042],[-0.16189266]
[0.18814552],[-0.69570088]
[0.18814552],[-0.69570088]
[0.18814552],[-0.69570088]
[0.18814552],[-0.69570088]
[0.32816079 0.52068179],[-0.67819897]
[0.11813789],[-0.78321042]
[0.11813789],[-0.78321042]
[0.11813789],[-0.78321042]
[0.2494022],[-0.68694993]
[0.2494022],[-0.68694993]
[0.2494022],[-0.68694993]
[0.2494022],[-0.68694993]
[0.19689648 0.46817606],[-0.12688884]
[0.19689648 0.46817606],[-0.12688884]
[0.19689648 0.46817606],[-0.12688884]
[0.19689648 0.46817606],[-0.12688884]
[0.19689648 0.46817606],[-0.12688884]
[0.16189266],[-0.12688884]
[0.16189266],[-0.12688884]
[0.16189266],[-0.12688884]
[0.16189266],[-0.12688884]
[0.17064361],[-0.11813789]
[0.17064361 0.7307047 ],[-0.11813789]
[0.17064361 0.7307047 ],[-0.11813789]
[0.17064361 0.7307047 ],[-0.11813789]
[0.20564743],[-0.19689648]
[-0.10063598],[-0.19689648]
[-0.10063598],[-0.19689648]
[-0.10063598],[-0.19689648]
[-0.10063598],[-0.19689648]
[0.30190793],[-0.13563979]
[0.30190793],[0.46817606]
[0.30190793],[0.46817606]
[0.00437548],[-0.58193847]
[1.55329442],[-0.68694993]
[0.0568812],[-0.22314934]
[0.0568812],[-0.22314934]
[0.0568812],[-0.22314934]
[1.50953965],[-0.19689648]
[1.50953965],[-0.19689648]
[1.50953965],[-0.19689648]
[1.50953965],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.78321042],[-0.18814552]
[0.12688884],[-0.18814552]
[0.12688884],[-0.18814552]
[0.12688884],[-0.18814552]
[0.14439075],[-0.67819897]
[0.14439075],[-0.67819897]
[0.14439075],[-0.66944802]
[0.14439075],[0.61694229]
[0.45942511],[-0.11813789]
[0.26690411],[-0.11813789]
[0.26690411],[-0.11813789]
[0.26690411],[-0.11813789]
[0.26690411],[-0.11813789]
[0.4419232],[-0.08313407]
[0.31065888],[-0.68694993]
[0.31065888],[-0.68694993]
[0.31065888],[-0.68694993]
[0.68694993],[-0.19689648]
[0.29315697],[-0.19689648]
[0.29315697],[-0.19689648]
[0.29315697],[-0.19689648]
[0.31065888],[-0.0393793]
[0.31065888],[-0.08313407]
[0.31065888],[-0.08313407]
[0.31065888],[-0.08313407]
[0.31940984],[-0.22314934]
[0.31940984],[-0.22314934]
[0.31940984],[-0.22314934]
[0.31940984],[-0.22314934]
[0.31940984],[-0.22314934]
[0.13563979],[-0.19689648]
[0.1531417],[-0.19689648]
[0.1531417],[-0.19689648]
[0.1531417],[-0.19689648]
[1.54454346],[-0.67819897]
[1.54454346],[0.52943275]
[1.54454346],[0.52943275]
[1.54454346],[0.52943275]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[0.29315697],[-0.18814552]
[0.29315697],[-0.18814552]
[0.29315697],[-0.18814552]
[0.29315697],[-0.18814552]
[0.40691938],[-0.12688884]
[0.40691938],[-0.12688884]
[0.40691938],[-0.12688884]
[0.0393793],[-0.12688884]
[0.22314934],[-0.18814552]
[0.22314934],[-0.18814552]
[0.22314934],[-0.18814552]
[0.22314934],[-0.18814552]
[0.18814552],[-0.70445183]
[0.31065888],[-0.19689648]
[0.31065888],[-0.19689648]
[0.31065888],[-0.19689648]
[0.31065888],[-0.19689648]
[0.11813789],[-0.19689648]
[0.11813789],[-0.19689648]
[0.11813789],[-0.19689648]
[0.11813789],[-0.19689648]
[0.11813789],[-0.19689648]
[0.3456627  0.54693465],[-0.19689648]
[0.3456627  0.54693465],[-0.19689648]
[0.3456627  0.54693465],[-0.19689648]
[1.54454346],[-0.67819897]
[1.54454346],[-0.67819897]
[1.54454346],[-0.67819897]
[1.54454346],[-0.67819897]
[1.54454346],[-0.67819897]
[0.68694993],[-0.19689648]
[0.68694993],[-0.19689648]
[0.68694993],[-0.19689648]
[0.30190793],[-0.19689648]
[0.3456627],[-0.12688884]
[0.3456627],[-0.12688884]
[0.3456627],[-0.12688884]
[0.3456627],[-0.12688884]
[0.02187739],[-0.11813789]
[0.02187739],[-0.11813789]
[0.02187739],[-0.11813789]
[0.02187739],[-0.11813789]
[0.3456627],[-0.19689648]
[0.3456627],[-0.14439075]
[0.3456627],[-0.14439075]
[0.3456627],[-0.14439075]
[0.3456627],[-0.14439075]
[-1.18575433],[-0.19689648]
[0.10063598],[-0.19689648]
[0.10063598],[-0.19689648]
[0.10063598],[-0.19689648]
[-1.52704155],[-0.69570088]
[-1.52704155],[-0.69570088]
[-1.52704155],[-0.69570088]
[-1.52704155],[-0.69570088]
[0.13563979],[-0.78321042]
[0.13563979],[-0.78321042]
[0.13563979],[-0.78321042]
[0.13563979],[-0.78321042]
[0.13563979],[-0.78321042]
[0.5381837],[-0.13563979]
[0.5381837],[-0.13563979]
[0.5381837],[-0.13563979]
[0.5381837],[-0.13563979]
[0.25815316 0.48567797],[-0.14439075]
[0.25815316 0.48567797],[-0.14439075]
[0.25815316 0.48567797],[-0.14439075]
[0.25815316 0.48567797],[-0.14439075]
[0.00437548],[-0.79196138]
[0.00437548],[-0.79196138]
[0.00437548],[-0.79196138]
[0.00437548],[-0.79196138]
[1.55329442],[-0.77445947]
[1.55329442],[-0.77445947]
[1.55329442],[-0.77445947]
[1.55329442],[-0.77445947]
[1.55329442],[-0.77445947]
[0.00437548],[-0.47692702]
[0.00437548],[-0.78321042]
[0.00437548],[-0.78321042]
[0.00437548],[-0.78321042]
[0.03062834],[-0.66069706]
[0.03062834],[-0.66069706]
[0.03062834],[-0.66069706]
[0.03062834],[-0.66069706]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.30190793],[-0.19689648]
[0.46817606],[-0.08313407]
[0.46817606],[-0.08313407]
[0.46817606],[-0.08313407]
[0.46817606],[-0.08313407]
[0.3456627],[-0.18814552]
[0.31065888],[-0.18814552]
[0.31065888],[-0.18814552]
[0.31065888],[-0.18814552]
[0.17064361],[-0.19689648]
[0.17064361],[-0.19689648]
[0.17064361],[-0.19689648]
[0.17064361],[-0.19689648]
[1.48328678],[-0.66944802]
[-1.46578487],[-0.66944802]
[-1.46578487],[-0.66944802]
[-1.46578487],[-0.66944802]
[-1.46578487],[-0.66944802]
[0.38066652],[0.00437548]
[0.38941747],[0.00437548]
[0.38941747],[0.00437548]
[0.38941747],[0.00437548]
[0.41567034],[-0.08313407]
[0.41567034],[-0.08313407]
[0.41567034],[-0.08313407]
[0.41567034],[-0.08313407]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[1.55329442],[-0.19689648]
[0.16189266],[0.00437548]
[0.16189266],[0.00437548]
[0.16189266],[0.00437548]
[0.16189266],[0.00437548]
[0.33691175 0.49442893],[-0.66944802]
[0.33691175 0.49442893],[-0.66944802]
[0.33691175 0.49442893],[-0.66944802]
[0.33691175 0.49442893],[-0.66944802]
[0.09188502],[-0.66944802]
[0.09188502],[-0.66944802]
[0.09188502],[-0.66944802]
[0.09188502],[-0.66944802]
[0.26690411 0.54693465],[-0.20564743]
[0.26690411 0.54693465],[-0.20564743]
[0.26690411 0.54693465],[-0.20564743]
[0.26690411 0.54693465],[-0.66944802]
[0.26690411 0.54693465],[-0.66944802]
[1.55329442],[-0.19689648]
[1.55329442],[-0.70445183]
[1.55329442],[-0.70445183]
[1.55329442],[-0.70445183]
[0.78321042],[-0.11813789]
[0.78321042],[-0.11813789]
[0.78321042],[-0.11813789]
[0.78321042],[-0.11813789]
[0.22314934],[-0.24065125]
[0.22314934],[-0.24065125]
[0.22314934],[-0.24065125]
[0.22314934],[-0.24065125]
[0.22314934],[-0.24065125]
[-0.06563216],[-0.02187739]
[-0.06563216],[-0.02187739]
[-0.06563216],[-0.02187739]
[-0.06563216],[-0.02187739]
[0.12688884],[-0.20564743]
[0.12688884],[-0.78321042]
[0.12688884],[-0.78321042]
[0.12688884],[-0.78321042]
[0.17064361],[0.08313407]
[0.17064361],[0.08313407]
[0.17064361],[0.08313407]
[0.17064361],[0.08313407]
[0.1531417],[-0.17064361]
[0.1531417],[-0.17064361]
[0.1531417],[-0.17064361]
[0.1531417],[-0.17064361]
[0.1531417],[-0.17064361]
[0.14439075],[0.0393793]
[0.14439075],[0.0393793]
[0.14439075],[0.0393793]
[0.14439075],[0.0393793]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[0.41567034],[-0.13563979]
[0.41567034],[-0.13563979]
[0.41567034],[-0.13563979]
[0.41567034],[-0.13563979]
[0.41567034],[-0.13563979]
[0.78321042],[-0.29315697]
[0.78321042],[-0.29315697]
[0.78321042],[-0.29315697]
[0.78321042],[-0.29315697]
[0.14439075],[-0.14439075]
[0.14439075],[-0.14439075]
[0.14439075],[-0.14439075]
[0.14439075],[-0.14439075]
[0.4419232],[0.16189266]
[0.4419232],[0.16189266]
[0.26690411],[0.16189266]
[0.26690411],[0.16189266]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.37191556],[-0.6344442]
[0.37191556],[-0.6344442]
[0.37191556],[-0.6344442]
[0.37191556],[-0.6344442]
[0.12688884],[-0.17939457]
[0.12688884],[-0.66069706]
[0.12688884],[-0.66069706]
[0.12688884],[-0.66069706]
[0.10063598],[-0.71320279]
[0.10063598],[-0.78321042]
[0.10063598],[-0.78321042]
[0.10063598],[-0.78321042]
[0.10063598],[-0.78321042]
[0.13563979],[-0.16189266]
[0.13563979],[-0.16189266]
[0.13563979],[-0.16189266]
[0.13563979],[-0.16189266]
[0.38066652],[0.22314934]
[0.38066652],[0.22314934]
[0.38066652],[0.22314934]
[0.38066652],[0.22314934]
[0.38941747],[-0.16189266]
[0.10938693],[-0.65194611]
[0.10938693],[-0.65194611]
[0.10938693],[-0.65194611]
[0.07438311],[-0.69570088]
[0.33691175],[-0.23190029]
[0.07438311],[-0.69570088]
[0.07438311],[-0.69570088]
[0.07438311],[-0.69570088]
[1.54454346],[-0.79196138]
[1.52704155],[-0.77445947]
[1.52704155],[-0.77445947]
[1.52704155],[-0.77445947]
[1.52704155],[0.10938693]
[1.52704155],[0.10938693]
[1.52704155],[0.10938693]
[1.52704155],[0.10938693]
[1.52704155],[-0.79196138]
[1.53579251],[-0.79196138]
[1.53579251],[-0.79196138]
[1.53579251],[-0.79196138]
[1.53579251],[-0.79196138]
[1.56204537],[-0.79196138]
[1.54454346],[-0.79196138]
[1.54454346],[-0.79196138]
[1.54454346],[-0.79196138]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[1.52704155],[-0.79196138]
[1.52704155],[-0.79196138]
[1.52704155],[-0.79196138]
[1.52704155],[-0.79196138]
[0.11813789],[-0.79196138]
[0.11813789],[-0.79196138]
[0.11813789],[-0.79196138]
[0.11813789],[-0.79196138]
[0.11813789],[-0.79196138]
[0.24065125],[0.10938693]
[0.24065125],[0.10938693]
[0.24065125],[0.10938693]
[0.24065125],[0.10938693]
[0.21439838],[0.11813789]
[0.21439838],[0.11813789]
[0.21439838],[0.11813789]
[0.21439838],[0.11813789]
[0.21439838],[-0.23190029]
[0.21439838],[-0.23190029]
[0.21439838],[-0.23190029]
[0.21439838],[-0.23190029]
[0.21439838],[-0.23190029]
[0.79196138],[-0.79196138]
[0.79196138],[-0.79196138]
[0.79196138],[-0.79196138]
[0.79196138],[-0.79196138]
[-0.02187739],[-0.23190029]
[-0.02187739],[-0.23190029]
[-0.02187739],[-0.23190029]
[-0.02187739],[-0.23190029]
[-0.02187739],[-0.17939457]
[-0.02187739],[-0.17939457]
[-0.02187739],[-0.17939457]
[-0.02187739],[-0.17939457]
[0.39816843],[-0.26690411]
[0.39816843],[-0.26690411]
[0.39816843],[-0.26690411]
[0.39816843],[-0.26690411]
[0.39816843],[-0.26690411]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.66069706]
[0.17939457],[-0.2494022]
[0.29315697],[-0.2494022]
[0.29315697],[-0.2494022]
[0.29315697],[-0.2494022]
[0.17939457],[-0.26690411]
[0.08313407],[-0.62569324]
[0.08313407],[-0.62569324]
[0.08313407],[-0.62569324]
[0.08313407],[-0.62569324]
[-0.07438311],[-0.14439075]
[-0.07438311],[-0.14439075]
[-0.07438311],[-0.14439075]
[-0.07438311],[-0.14439075]
[0.02187739],[-0.22314934]
[0.02187739],[-0.22314934]
[0.02187739],[-0.22314934]
[0.02187739],[-0.22314934]
[0.11813789],[-0.17064361]
[0.11813789],[-0.17064361]
[0.11813789],[-0.17064361]
[0.11813789],[-0.17064361]
[0.12688884],[-0.0393793]
[0.12688884],[-0.0393793]
[0.12688884],[-0.0393793]
[0.12688884],[-0.0393793]
[0.12688884],[-0.0393793]
[1.54454346],[-0.70445183]
[1.52704155],[-0.79196138]
[1.52704155],[-0.79196138]
[1.52704155],[-0.79196138]
[-0.0568812],[-0.16189266]
[-0.0568812],[-0.16189266]
[-0.0568812],[-0.16189266]
[-0.0568812],[-0.16189266]
[0.0568812],[-0.21439838]
[0.0568812],[-0.21439838]
[0.0568812],[-0.21439838]
[-0.0568812],[-0.21439838]
[-0.0568812],[-0.21439838]
[0.38066652],[0.10938693]
[0.56443656],[0.10938693]
[0.56443656],[0.10938693]
[0.56443656],[0.10938693]
[0.3456627],[0.09188502]
[0.3456627],[0.09188502]
[0.3456627],[0.09188502]
[0.3456627],[0.09188502]
[0.11813789],[-0.13563979]
[0.11813789],[-0.13563979]
[0.11813789],[-0.13563979]
[0.11813789],[-0.13563979]
[0.24065125],[-0.1531417]
[0.24065125],[-0.20564743]
[0.24065125],[-0.20564743]
[0.24065125],[-0.20564743]
[0.24065125],[-0.20564743]
[0.04813025],[-0.10063598]
[0.04813025],[-0.10063598]
[0.0393793],[-0.10063598]
[0.0393793],[-0.10063598]
[0.14439075],[-0.17939457]
[0.14439075],[-0.17939457]
[0.14439075],[-0.17939457]
[0.14439075],[-0.17939457]
[0.14439075],[-0.29315697]
[0.13563979],[-0.29315697]
[0.13563979],[-0.29315697]
[0.13563979],[-0.29315697]
[0.13563979],[-0.29315697]
[0.13563979],[-0.17939457]
[0.13563979],[-0.17939457]
[0.13563979],[-0.17939457]
